file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
166404.exe  ,  0.67,  0.24,  0.24,  0.00,  0.01,   24370988,   22360000,    1944000,   37070680, c++, elite, sing, 10
166404.exe  ,  0.66,  0.23,  0.23,  0.00,  0.01,   24648733,   23615000,     983000,   37491556, c++, elite, sing, 10
166404.exe  ,  0.71,  0.24,  0.24,  0.00,  0.01,   24263823,   24263000,          0,   37227602, c++, elite, sing, 10
166404.exe  ,  0.67,  0.24,  0.24,  0.00,  0.01,   24402897,   23312000,    1013000,   37004419, c++, elite, sing, 10
166404.exe  ,  0.70,  0.25,  0.24,  0.00,  0.01,   24850959,   23763000,     990000,   37469408, c++, elite, sing, 10
166404.exe  ,  0.67,  0.24,  0.24,  0.00,  0.01,   24473401,   23489000,     978000,   37228704, c++, elite, sing, 10
166404.exe  ,  0.68,  0.24,  0.23,  0.00,  0.01,   25037744,   24040000,    1001000,   37644256, c++, elite, sing, 10
166404.exe  ,  0.67,  0.23,  0.22,  0.00,  0.01,   25534729,   24565000,     982000,   38381230, c++, elite, sing, 10
166404.exe  ,  0.68,  0.24,  0.24,  0.00,  0.01,   24617486,   23637000,     984000,   37316500, c++, elite, sing, 10
182932.exe  ,  0.47,  0.15,  0.15,  0.00,  0.01,   16000291,   14911000,     994000,   29424227, c++, elite, sing, 10
182932.exe  ,  0.45,  0.15,  0.15,  0.00,  0.01,   15723115,   11780000,    3926000,   28361465, c++, elite, sing, 10
182932.exe  ,  0.44,  0.15,  0.14,  0.00,  0.01,   16149120,   11097000,    5044000,   29222328, c++, elite, sing, 10
182932.exe  ,  0.42,  0.15,  0.15,  0.00,  0.01,   15545752,   12623000,    2913000,   28137029, c++, elite, sing, 10
182932.exe  ,  0.46,  0.16,  0.15,  0.00,  0.01,   15579781,   12449000,    3112000,   28320548, c++, elite, sing, 10
182932.exe  ,  0.43,  0.15,  0.15,  0.00,  0.01,   15423852,   11567000,    3855000,   28304812, c++, elite, sing, 10
182932.exe  ,  0.45,  0.16,  0.15,  0.00,  0.01,   15512426,   12416000,    3104000,   28357754, c++, elite, sing, 10
182932.exe  ,  0.45,  0.16,  0.15,  0.00,  0.01,   15756238,   12540000,    3135000,   28546701, c++, elite, sing, 10
182932.exe  ,  0.43,  0.15,  0.15,  0.00,  0.01,   15695479,   13724000,    1960000,   28358833, c++, elite, sing, 10
182932.exe  ,  0.44,  0.15,  0.15,  0.00,  0.01,   15986416,   13981000,    1997000,   28556048, c++, elite, sing, 10
1840297.exe ,  0.31,  0.10,  0.11,  0.00,  0.01,   10943218,    8943000,    1987000,   24339101, c++, elite, sing, 10
1840297.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11092234,    9011000,    2002000,   23598764, c++, elite, sing, 10
1840297.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11340023,   10305000,    1030000,   24177332, c++, elite, sing, 10
1840297.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   10970582,    9967000,     996000,   23562995, c++, elite, sing, 10
1840297.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   10990484,    9171000,    1834000,   23557122, c++, elite, sing, 10
1840297.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11072636,    8054000,    3020000,   23664443, c++, elite, sing, 10
1840297.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   10817408,    8850000,    1966000,   23348992, c++, elite, sing, 10
1840297.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11240208,    9190000,    2042000,   23923155, c++, elite, sing, 10
1840297.exe ,  0.34,  0.12,  0.10,  0.00,  0.01,   11081907,    9063000,    2014000,   23879576, c++, elite, sing, 10
1840297.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   11051143,   10038000,    1003000,   23605190, c++, elite, sing, 10
1859305.exe ,  0.34,  0.11,  0.11,  0.00,  0.01,   10781895,    7845000,    2942000,   24286503, c++, elite, sing, 10
1859305.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   11015727,   10009000,    1000000,   23792367, c++, elite, sing, 10
1859305.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11171530,    9130000,    2029000,   23965642, c++, elite, sing, 10
1859305.exe ,  0.30,  0.11,  0.10,  0.00,  0.01,   11177339,   10162000,    1016000,   24004591, c++, elite, sing, 10
1859305.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   10837219,    8868000,    1970000,   23584868, c++, elite, sing, 10
1859305.exe ,  0.34,  0.12,  0.10,  0.00,  0.01,   11063273,    9052000,    2011000,   23937697, c++, elite, sing, 10
1859305.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   10924672,    8935000,    1985000,   23397106, c++, elite, sing, 10
1859305.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   11319451,    8504000,    2834000,   23867085, c++, elite, sing, 10
1859305.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   10712612,    7796000,    2923000,   23346077, c++, elite, sing, 10
1859305.exe ,  0.29,  0.10,  0.10,  0.00,  0.01,   10675993,    8739000,    1942000,   23213207, c++, elite, sing, 10
1863270.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   11041575,    9030000,    2006000,   24731073, c++, elite, sing, 10
1863270.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   11071641,    9176000,    1835000,   23698091, c++, elite, sing, 10
1863270.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   10917907,    8932000,    1985000,   23648953, c++, elite, sing, 10
1863270.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   11168033,    8381000,    2793000,   23875042, c++, elite, sing, 10
1863270.exe ,  0.31,  0.10,  0.10,  0.00,  0.01,   11021920,   10027000,    1002000,   23696135, c++, elite, sing, 10
1863270.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   11183064,    8390000,    2796000,   24049686, c++, elite, sing, 10
1863270.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11223515,   10293000,     935000,   23837051, c++, elite, sing, 10
1863270.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   10891998,    8915000,    1981000,   23470511, c++, elite, sing, 10
1863270.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11031485,   10024000,    1002000,   23844899, c++, elite, sing, 10
1863270.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   10995640,    9007000,    2001000,   23711061, c++, elite, sing, 10
1923894.exe ,  0.34,  0.12,  0.11,  0.00,  0.01,   12073698,   10059000,    2011000,   24453215, c++, elite, sing, 10
1923894.exe ,  0.36,  0.12,  0.11,  0.00,  0.01,   12068587,   10052000,    2010000,   24952747, c++, elite, sing, 10
1923894.exe ,  0.34,  0.12,  0.11,  0.00,  0.01,   11887322,    8646000,    3242000,   24504350, c++, elite, sing, 10
1923894.exe ,  0.34,  0.12,  0.11,  0.00,  0.01,   11981286,   10898000,    1089000,   24753957, c++, elite, sing, 10
1923894.exe ,  0.34,  0.12,  0.11,  0.00,  0.01,   11909634,   10828000,    1082000,   24523812, c++, elite, sing, 10
1923894.exe ,  0.34,  0.12,  0.12,  0.00,  0.01,   11959356,    9967000,    1993000,   24770579, c++, elite, sing, 10
1923894.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   12312622,    9239000,    3079000,   25316742, c++, elite, sing, 10
1923894.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   12309744,    8522000,    3787000,   25032950, c++, elite, sing, 10
1923894.exe ,  0.35,  0.12,  0.12,  0.00,  0.01,   11898760,   10890000,     990000,   24558023, c++, elite, sing, 10
1923894.exe ,  0.34,  0.12,  0.12,  0.00,  0.01,   12191562,    8129000,    4064000,   24862282, c++, elite, sing, 10
1956910.exe ,  0.36,  0.09,  0.09,  0.00,  0.01,   15796523,   12761000,    2944000,   31630955, c++, elite, sing, 10
1956910.exe ,  0.33,  0.12,  0.12,  0.00,  0.01,   12571936,   10471000,    2094000,   25036371, c++, elite, sing, 10
1956910.exe ,  0.35,  0.12,  0.12,  0.00,  0.01,   12769533,    8842000,    3929000,   25841331, c++, elite, sing, 10
1956910.exe ,  0.37,  0.13,  0.12,  0.00,  0.01,   12525481,    9385000,    3128000,   25363054, c++, elite, sing, 10
1956910.exe ,  0.37,  0.13,  0.12,  0.00,  0.01,   12488517,   10568000,    1921000,   25140522, c++, elite, sing, 10
1956910.exe ,  0.34,  0.12,  0.12,  0.00,  0.01,   12466967,   11425000,    1038000,   25259451, c++, elite, sing, 10
1956910.exe ,  0.34,  0.12,  0.12,  0.00,  0.01,   12548113,   10612000,    1929000,   25257794, c++, elite, sing, 10
1956910.exe ,  0.34,  0.12,  0.12,  0.00,  0.01,   12444193,    8556000,    3802000,   24972828, c++, elite, sing, 10
1956910.exe ,  0.34,  0.12,  0.12,  0.00,  0.01,   12365715,    7606000,    4754000,   24892733, c++, elite, sing, 10
1956910.exe ,  0.36,  0.12,  0.12,  0.00,  0.01,   12446741,    9576000,    2872000,   24990115, c++, elite, sing, 10
2025154.exe ,  0.35,  0.12,  0.10,  0.00,  0.01,   11255473,   11262000,          0,   24669043, c++, elite, sing, 10
2025154.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11326181,    8441000,    2813000,   23870923, c++, elite, sing, 10
2025154.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11264422,    8439000,    2813000,   23799767, c++, elite, sing, 10
2025154.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   10966309,    8985000,    1996000,   23734946, c++, elite, sing, 10
2025154.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11135902,   10123000,    1012000,   23918071, c++, elite, sing, 10
2025154.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   11299621,    8478000,    2826000,   24108563, c++, elite, sing, 10
2025154.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   11082417,   10021000,    1002000,   23722373, c++, elite, sing, 10
2025154.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   10943626,    9959000,     995000,   23678777, c++, elite, sing, 10
2025154.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   11125304,    9094000,    2020000,   23702245, c++, elite, sing, 10
2025154.exe ,  0.33,  0.10,  0.09,  0.00,  0.01,   12491594,    9578000,    2873000,   26758632, c++, elite, sing, 10
211894.exe  ,  0.37,  0.12,  0.12,  0.00,  0.01,   12120047,   10119000,    2023000,   25154657, c++, elite, sing, 10
211894.exe  ,  0.33,  0.11,  0.11,  0.00,  0.01,   12520312,    6742000,    5778000,   25199522, c++, elite, sing, 10
211894.exe  ,  0.37,  0.13,  0.12,  0.00,  0.01,   12423566,    8597000,    3821000,   25143461, c++, elite, sing, 10
211894.exe  ,  0.35,  0.12,  0.11,  0.00,  0.01,   12511843,    9627000,    2888000,   25661180, c++, elite, sing, 10
211894.exe  ,  0.34,  0.12,  0.12,  0.00,  0.01,   12132552,   10083000,    2016000,   24897256, c++, elite, sing, 10
211894.exe  ,  0.36,  0.12,  0.11,  0.00,  0.01,   12734085,    9788000,    2936000,   25541295, c++, elite, sing, 10
211894.exe  ,  0.33,  0.11,  0.11,  0.00,  0.01,   12633089,   10524000,    2104000,   25391345, c++, elite, sing, 10
211894.exe  ,  0.33,  0.11,  0.11,  0.00,  0.01,   12574622,    8669000,    3852000,   25596651, c++, elite, sing, 10
211894.exe  ,  0.37,  0.13,  0.12,  0.00,  0.01,   12332724,   10221000,    2044000,   25190328, c++, elite, sing, 10
211894.exe  ,  0.34,  0.12,  0.12,  0.00,  0.01,   12151320,    8100000,    4050000,   24898748, c++, elite, sing, 10
2158936.exe ,  0.76,  0.27,  0.25,  0.00,  0.01,   26806673,   23711000,    3092000,   40842751, c++, elite, sing, 10
2158936.exe ,  0.80,  0.26,  0.25,  0.00,  0.01,   26922236,   25925000,     997000,   39662425, c++, elite, sing, 10
2158936.exe ,  0.73,  0.25,  0.24,  0.00,  0.01,   27518746,   24549000,    2945000,   40417123, c++, elite, sing, 10
2158936.exe ,  0.76,  0.27,  0.26,  0.00,  0.01,   26721379,   25695000,    1027000,   39164763, c++, elite, sing, 10
2158936.exe ,  0.75,  0.26,  0.26,  0.00,  0.01,   27191332,   20385000,    6795000,   39888479, c++, elite, sing, 10
2158936.exe ,  0.74,  0.26,  0.26,  0.00,  0.01,   26345056,   25275000,    1011000,   39194241, c++, elite, sing, 10
2158936.exe ,  0.76,  0.27,  0.25,  0.00,  0.01,   26302818,   24267000,    2022000,   38814443, c++, elite, sing, 10
2158936.exe ,  0.73,  0.26,  0.26,  0.00,  0.01,   26328532,   25226000,    1009000,   39099483, c++, elite, sing, 10
2158936.exe ,  0.77,  0.27,  0.26,  0.00,  0.01,   26877851,   24808000,    1984000,   39837802, c++, elite, sing, 10
2158936.exe ,  0.79,  0.26,  0.25,  0.00,  0.02,   27070149,   25063000,    2005000,   40189439, c++, elite, sing, 10
2165152.exe ,  0.74,  0.26,  0.25,  0.00,  0.02,   26839658,   23740000,    3096000,   41331046, c++, elite, sing, 10
