file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
2054972.exe ,  4.45,  1.57,  1.51,  0.00,  0.09,  161135007,  155100000,    6003000,  174062655, c++, elite, mult, 10
2054972.exe ,  4.59,  1.55,  1.49,  0.00,  0.09,  160958313,  155942000,    4998000,  173709867, c++, elite, mult, 10
2054972.exe ,  4.50,  1.57,  1.51,  0.00,  0.09,  159468850,  152462000,    6975000,  172156221, c++, elite, mult, 10
2054972.exe ,  4.49,  1.57,  1.50,  0.00,  0.09,  161394908,  155236000,    6009000,  174341472, c++, elite, mult, 10
2054972.exe ,  4.60,  1.58,  1.52,  0.00,  0.09,  159682253,  152675000,    6985000,  172252265, c++, elite, mult, 10
2054972.exe ,  4.40,  1.57,  1.51,  0.00,  0.09,  160403256,  152360000,    8018000,  173134693, c++, elite, mult, 10
2054972.exe ,  4.44,  1.57,  1.51,  0.00,  0.09,  159885010,  156772000,    3014000,  172914964, c++, elite, mult, 10
2110174.exe ,  5.03,  1.80,  1.74,  0.00,  0.11,  185398178,  176414000,    8970000,  198812929, c++, elite, mult, 10
2110174.exe ,  5.07,  1.84,  1.77,  0.00,  0.11,  185247256,  177268000,    7967000,  197876074, c++, elite, mult, 10
2110174.exe ,  5.06,  1.83,  1.77,  0.00,  0.11,  185715072,  177714000,    7987000,  198478838, c++, elite, mult, 10
2110174.exe ,  5.10,  1.84,  1.76,  0.00,  0.11,  184613230,  175593000,    8979000,  197513853, c++, elite, mult, 10
2110174.exe ,  5.19,  1.84,  1.77,  0.00,  0.11,  185121347,  175031000,   10001000,  197983458, c++, elite, mult, 10
2110174.exe ,  5.06,  1.84,  1.77,  0.00,  0.11,  185281880,  179261000,    6008000,  198636822, c++, elite, mult, 10
2110174.exe ,  5.06,  1.84,  1.77,  0.00,  0.11,  186004809,  176994000,    8999000,  198583301, c++, elite, mult, 10
2110174.exe ,  5.13,  1.85,  1.79,  0.00,  0.11,  189379631,  176415000,   12957000,  202509614, c++, elite, mult, 10
2110174.exe ,  5.18,  1.89,  1.81,  0.00,  0.11,  189598666,  181572000,    7981000,  202459990, c++, elite, mult, 10
2110174.exe ,  5.17,  1.85,  1.78,  0.00,  0.11,  185584668,  174530000,   10970000,  198387800, c++, elite, mult, 10
2254880.exe , 11.05,  3.99,  3.84,  0.00,  0.27,  414496410,  408478000,    5992000,  429119955, c++, elite, mult, 10
2254880.exe , 11.00,  4.04,  3.89,  0.00,  0.27,  406198518,  399142000,    6984000,  419077031, c++, elite, mult, 10
2254880.exe , 11.11,  4.02,  3.86,  0.00,  0.27,  405906924,  395755000,    9993000,  418872634, c++, elite, mult, 10
2254880.exe , 10.90,  4.02,  3.86,  0.00,  0.26,  403191425,  397168000,    6002000,  415901379, c++, elite, mult, 10
2254880.exe , 10.99,  4.02,  3.87,  0.00,  0.27,  403487751,  396336000,    7005000,  416243359, c++, elite, mult, 10
2254880.exe , 11.01,  4.03,  3.89,  0.00,  0.27,  405481039,  399428000,    6006000,  418087655, c++, elite, mult, 10
2254880.exe , 11.20,  4.03,  3.87,  0.00,  0.27,  406562543,  399419000,    6989000,  419505967, c++, elite, mult, 10
2254880.exe , 11.04,  4.03,  3.88,  0.00,  0.27,  405888762,  397827000,    7996000,  419361970, c++, elite, mult, 10
2254880.exe , 10.97,  4.05,  3.89,  0.00,  0.27,  406076780,  397058000,    9001000,  418833517, c++, elite, mult, 10
2254880.exe , 11.17,  4.05,  3.90,  0.00,  0.27,  406649752,  401550000,    5006000,  419291438, c++, elite, mult, 10
2271051.exe ,  4.21,  1.54,  1.49,  0.00,  0.08,  155147284,  154129000,    1000000,  168060860, c++, elite, mult, 10
2271051.exe ,  4.27,  1.58,  1.52,  0.00,  0.08,  159464209,  158455000,     996000,  172069366, c++, elite, mult, 10
2271051.exe ,  4.36,  1.58,  1.52,  0.00,  0.08,  158772543,  157697000,    1004000,  171993397, c++, elite, mult, 10
2271051.exe ,  4.25,  1.56,  1.51,  0.00,  0.08,  158419960,  156425000,    1992000,  171206708, c++, elite, mult, 10
2271051.exe ,  4.25,  1.57,  1.52,  0.00,  0.08,  158447681,  158358000,          0,  171148788, c++, elite, mult, 10
2271051.exe ,  4.46,  1.57,  1.50,  0.00,  0.08,  162312328,  161224000,     995000,  175453150, c++, elite, mult, 10
2271051.exe ,  4.20,  1.54,  1.48,  0.00,  0.08,  156671411,  154672000,    1995000,  169339900, c++, elite, mult, 10
2271051.exe ,  4.28,  1.54,  1.48,  0.00,  0.08,  162181268,  160199000,    1990000,  175170672, c++, elite, mult, 10
2271051.exe ,  4.55,  1.62,  1.56,  0.00,  0.09,  166477092,  164449000,    1993000,  179645520, c++, elite, mult, 10
2271051.exe ,  4.34,  1.60,  1.54,  0.00,  0.08,  162264898,  162272000,          0,  175090595, c++, elite, mult, 10
2381283.exe ,  6.19,  2.21,  2.12,  0.00,  0.14,  222122551,  212022000,   10001000,  234890404, c++, elite, mult, 10
2381283.exe ,  6.04,  2.18,  2.09,  0.00,  0.13,  220705987,  206711000,   13980000,  233563301, c++, elite, mult, 10
2381283.exe ,  6.19,  2.18,  2.10,  0.00,  0.14,  222439785,  206456000,   15957000,  235318043, c++, elite, mult, 10
2381283.exe ,  6.07,  2.18,  2.10,  0.00,  0.14,  220830707,  211770000,    9032000,  233793058, c++, elite, mult, 10
2381283.exe ,  6.17,  2.19,  2.10,  0.00,  0.13,  221062259,  210047000,   11002000,  233956650, c++, elite, mult, 10
2381283.exe ,  6.06,  2.16,  2.07,  0.00,  0.14,  222782505,  206770000,   15982000,  235350547, c++, elite, mult, 10
2381283.exe ,  6.19,  2.19,  2.10,  0.00,  0.14,  220622480,  209630000,   10980000,  233653458, c++, elite, mult, 10
2381283.exe ,  6.05,  2.19,  2.11,  0.00,  0.13,  221165258,  206118000,   15008000,  233884206, c++, elite, mult, 10
2381283.exe ,  6.07,  2.18,  2.09,  0.00,  0.13,  221515540,  209492000,   11971000,  234409533, c++, elite, mult, 10
2381283.exe ,  6.12,  2.20,  2.11,  0.00,  0.14,  222009199,  209004000,   13000000,  234851582, c++, elite, mult, 10
2384994.exe ,  5.35,  1.82,  1.74,  0.00,  0.11,  190579412,  174614000,   15964000,  204559492, c++, elite, mult, 10
2384994.exe ,  5.14,  1.83,  1.77,  0.00,  0.11,  189466866,  176396000,   13029000,  202206158, c++, elite, mult, 10
2384994.exe ,  5.21,  1.82,  1.76,  0.00,  0.11,  189071581,  175023000,   14001000,  201850797, c++, elite, mult, 10
2384994.exe ,  5.43,  1.85,  1.78,  0.00,  0.11,  190184618,  177228000,   12943000,  202942392, c++, elite, mult, 10
2384994.exe ,  5.22,  1.84,  1.77,  0.00,  0.11,  187910889,  172852000,   14987000,  200597829, c++, elite, mult, 10
2384994.exe ,  5.40,  1.83,  1.76,  0.00,  0.11,  187682850,  177698000,    9983000,  200406741, c++, elite, mult, 10
2384994.exe ,  5.19,  1.80,  1.73,  0.00,  0.11,  189203350,  177170000,   12011000,  202340210, c++, elite, mult, 10
2384994.exe ,  5.19,  1.83,  1.76,  0.00,  0.11,  187246341,  178214000,    9010000,  200280895, c++, elite, mult, 10
2384994.exe ,  5.25,  1.81,  1.74,  0.00,  0.11,  187382651,  179351000,    8015000,  200217744, c++, elite, mult, 10
2384994.exe ,  5.21,  1.83,  1.77,  0.00,  0.11,  188384918,  178306000,    9961000,  201305644, c++, elite, mult, 10
2447635.exe ,  5.11,  1.74,  1.68,  0.00,  0.11,  180189873,  169174000,   11011000,  193487053, c++, elite, mult, 10
2447635.exe ,  4.96,  1.72,  1.65,  0.00,  0.11,  179748603,  167764000,   11983000,  192910150, c++, elite, mult, 10
2447635.exe ,  5.05,  1.75,  1.68,  0.00,  0.10,  176817751,  166834000,    9990000,  189739892, c++, elite, mult, 10
2447635.exe ,  4.96,  1.75,  1.69,  0.00,  0.10,  178650430,  162665000,   15967000,  191321684, c++, elite, mult, 10
2447635.exe ,  5.06,  1.78,  1.71,  0.00,  0.11,  178486005,  169401000,    9021000,  191311861, c++, elite, mult, 10
2447635.exe ,  4.94,  1.76,  1.70,  0.00,  0.11,  179391394,  159439000,   19929000,  192492589, c++, elite, mult, 10
2447635.exe ,  4.93,  1.76,  1.70,  0.00,  0.10,  177593370,  167600000,    9976000,  190858989, c++, elite, mult, 10
2447635.exe ,  5.01,  1.77,  1.71,  0.00,  0.11,  181101777,  166079000,   15007000,  193731808, c++, elite, mult, 10
2447635.exe ,  4.92,  1.76,  1.70,  0.00,  0.10,  178275392,  167228000,   11015000,  190852926, c++, elite, mult, 10
2447635.exe ,  5.08,  1.73,  1.67,  0.00,  0.11,  180725253,  165699000,   14972000,  194222230, c++, elite, mult, 10
2460677.exe ,  4.15,  1.55,  1.50,  0.00,  0.08,  156475962,  154464000,    1993000,  169014640, c++, elite, mult, 10
2460677.exe ,  4.36,  1.54,  1.49,  0.00,  0.08,  163244621,  162226000,    1001000,  176303078, c++, elite, mult, 10
2460677.exe ,  4.33,  1.58,  1.53,  0.00,  0.08,  160451594,  158454000,    1993000,  173270057, c++, elite, mult, 10
2460677.exe ,  4.16,  1.53,  1.48,  0.00,  0.08,  155883366,  155893000,          0,  168504078, c++, elite, mult, 10
2460677.exe ,  4.38,  1.57,  1.51,  0.00,  0.08,  160231087,  159240000,    1001000,  172948521, c++, elite, mult, 10
