file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1510302.exe ,  4.48,  0.51,  0.42,  0.00,  0.15,  259780663,  234812000,   24874000,  300662214, c++, elite, mult, 2
1510302.exe ,  4.43,  0.51,  0.42,  0.00,  0.15,  259014793,  242007000,   17000000,  302183931, c++, elite, mult, 2
1510302.exe ,  4.51,  0.52,  0.42,  0.00,  0.15,  261041114,  241013000,   20001000,  302254373, c++, elite, mult, 2
1510302.exe ,  4.33,  0.50,  0.41,  0.00,  0.14,  252873325,  232956000,   19910000,  292458540, c++, elite, mult, 2
1510302.exe ,  4.53,  0.52,  0.43,  0.00,  0.15,  264142624,  250117000,   14006000,  306658736, c++, elite, mult, 2
1545872.exe ,  4.49,  0.52,  0.43,  0.00,  0.15,  264154487,  244095000,   20007000,  305797416, c++, elite, mult, 2
1545872.exe ,  4.47,  0.52,  0.43,  0.00,  0.15,  263207447,  245276000,   17947000,  303499318, c++, elite, mult, 2
1545872.exe ,  4.41,  0.51,  0.42,  0.00,  0.15,  258740178,  241723000,   17051000,  298953415, c++, elite, mult, 2
1545872.exe ,  4.44,  0.52,  0.43,  0.00,  0.15,  263503945,  241469000,   22042000,  305456309, c++, elite, mult, 2
1545872.exe ,  4.37,  0.51,  0.42,  0.00,  0.15,  258107664,  241821000,   16121000,  300654095, c++, elite, mult, 2
1545872.exe ,  4.36,  0.50,  0.41,  0.00,  0.14,  255399599,  241152000,   14008000,  295303046, c++, elite, mult, 2
1545872.exe ,  4.57,  0.53,  0.44,  0.00,  0.15,  270302322,  256284000,   14015000,  313764985, c++, elite, mult, 2
1545872.exe ,  4.54,  0.53,  0.44,  0.00,  0.15,  270089572,  250025000,   20002000,  312901126, c++, elite, mult, 2
1545872.exe ,  4.53,  0.53,  0.43,  0.00,  0.15,  267048406,  253037000,   14002000,  307028976, c++, elite, mult, 2
1545872.exe ,  4.82,  0.55,  0.45,  0.00,  0.16,  280821146,  265682000,   15038000,  325827567, c++, elite, mult, 2
1655898.exe ,  4.80,  0.56,  0.46,  0.00,  0.16,  286021634,  270027000,   16001000,  329566367, c++, elite, mult, 2
1655898.exe ,  4.69,  0.55,  0.45,  0.00,  0.16,  279189866,  253166000,   26017000,  322546547, c++, elite, mult, 2
1655898.exe ,  4.52,  0.53,  0.43,  0.00,  0.15,  267137900,  246129000,   21011000,  310476850, c++, elite, mult, 2
1655898.exe ,  4.56,  0.53,  0.44,  0.00,  0.15,  269266958,  251254000,   18018000,  311917049, c++, elite, mult, 2
1655898.exe ,  4.49,  0.53,  0.43,  0.00,  0.15,  267066995,  252049000,   15002000,  310182681, c++, elite, mult, 2
1655898.exe ,  4.36,  0.51,  0.42,  0.00,  0.15,  257920512,  235881000,   21988000,  300582413, c++, elite, mult, 2
1655898.exe ,  4.38,  0.51,  0.42,  0.00,  0.15,  259198467,  242092000,   17006000,  301105596, c++, elite, mult, 2
1655898.exe ,  4.37,  0.51,  0.42,  0.00,  0.15,  259218852,  237230000,   22021000,  300346876, c++, elite, mult, 2
1655898.exe ,  4.31,  0.49,  0.41,  0.00,  0.14,  250664285,  232747000,   17903000,  291089645, c++, elite, mult, 2
1655898.exe ,  4.31,  0.50,  0.41,  0.00,  0.14,  253881962,  237963000,   15930000,  293393086, c++, elite, mult, 2
1832846.exe ,  4.22,  0.49,  0.40,  0.00,  0.14,  247568652,  228595000,   18966000,  289072964, c++, elite, mult, 2
1832846.exe ,  4.36,  0.51,  0.42,  0.00,  0.14,  257301930,  240284000,   17020000,  299816552, c++, elite, mult, 2
1832846.exe ,  4.23,  0.49,  0.40,  0.00,  0.14,  249201525,  235196000,   14011000,  291305587, c++, elite, mult, 2
1832846.exe ,  4.24,  0.50,  0.41,  0.00,  0.14,  250780575,  232704000,   17977000,  292724491, c++, elite, mult, 2
1832846.exe ,  4.33,  0.50,  0.41,  0.00,  0.14,  254004197,  238694000,   15043000,  295653507, c++, elite, mult, 2
1832846.exe ,  4.27,  0.50,  0.41,  0.00,  0.14,  253214628,  240208000,   13011000,  295679215, c++, elite, mult, 2
1832846.exe ,  4.06,  0.48,  0.39,  0.00,  0.13,  240705206,  221827000,   18900000,  281864757, c++, elite, mult, 2
1832846.exe ,  4.19,  0.49,  0.40,  0.00,  0.13,  247526421,  234494000,   13027000,  288117598, c++, elite, mult, 2
1832846.exe ,  4.13,  0.48,  0.40,  0.00,  0.13,  243967489,  231028000,   12945000,  283380184, c++, elite, mult, 2
1832846.exe ,  4.18,  0.48,  0.40,  0.00,  0.13,  245424492,  231376000,   14022000,  286402199, c++, elite, mult, 2
1867433.exe ,  4.46,  0.52,  0.43,  0.00,  0.15,  263344530,  249312000,   14017000,  304510832, c++, elite, mult, 2
1867433.exe ,  4.66,  0.54,  0.44,  0.00,  0.15,  274348058,  260303000,   14016000,  314256075, c++, elite, mult, 2
1867433.exe ,  4.68,  0.54,  0.45,  0.00,  0.15,  275655662,  253739000,   21891000,  315636916, c++, elite, mult, 2
1867433.exe ,  4.82,  0.56,  0.46,  0.00,  0.16,  284676400,  269697000,   14983000,  326648833, c++, elite, mult, 2
1867433.exe ,  4.88,  0.57,  0.47,  0.00,  0.16,  288198528,  270175000,   18011000,  331751998, c++, elite, mult, 2
1867433.exe ,  4.79,  0.56,  0.46,  0.00,  0.16,  283779135,  266856000,   16927000,  325866214, c++, elite, mult, 2
1867433.exe ,  4.87,  0.56,  0.46,  0.00,  0.16,  286192585,  267237000,   18945000,  326798258, c++, elite, mult, 2
1867433.exe ,  4.93,  0.57,  0.47,  0.00,  0.16,  290601201,  270624000,   19972000,  336237463, c++, elite, mult, 2
1867433.exe ,  4.78,  0.56,  0.46,  0.00,  0.16,  283596125,  263586000,   19893000,  326286549, c++, elite, mult, 2
1867433.exe ,  4.82,  0.56,  0.46,  0.00,  0.16,  285214475,  262300000,   22938000,  327135138, c++, elite, mult, 2
2004531.exe , 11.16,  1.31,  1.07,  0.00,  0.35,  663246389,  641202000,   21972000,  705015978, c++, elite, mult, 2
2004531.exe , 11.60,  1.37,  1.12,  0.00,  0.37,  693974108,  672699000,   21021000,  737290259, c++, elite, mult, 2
2004531.exe , 11.71,  1.38,  1.13,  0.00,  0.37,  699524819,  680376000,   19010000,  741601012, c++, elite, mult, 2
2004531.exe , 11.46,  1.34,  1.09,  0.00,  0.36,  678440033,  660341000,   18009000,  720981402, c++, elite, mult, 2
2004531.exe , 11.17,  1.32,  1.08,  0.00,  0.35,  669147885,  649076000,   20002000,  712072387, c++, elite, mult, 2
2004531.exe , 11.41,  1.32,  1.08,  0.00,  0.36,  670855950,  650676000,   18990000,  711834492, c++, elite, mult, 2
2004531.exe , 12.10,  1.43,  1.18,  0.00,  0.38,  726822108,  708679000,   17991000,  767556289, c++, elite, mult, 2
2004531.exe , 12.22,  1.44,  1.18,  0.00,  0.39,  729035901,  712686000,   15992000,  775137963, c++, elite, mult, 2
2004531.exe , 12.52,  1.52,  1.25,  0.00,  0.40,  749763948,  729707000,   19991000,  795344956, c++, elite, mult, 2
2004531.exe , 12.66,  1.49,  1.22,  0.00,  0.40,  756470358,  736378000,   20010000,  802986713, c++, elite, mult, 2
2059675.exe , 15.85,  1.83,  1.50,  0.00,  0.52,  932604379,  899490000,   33017000,  978847078, c++, elite, mult, 2
2059675.exe , 15.06,  1.74,  1.43,  0.00,  0.50,  885165288,  851734000,   33028000,  927071244, c++, elite, mult, 2
2059675.exe , 15.80,  1.84,  1.50,  0.00,  0.52,  931376207,  898238000,   33008000,  972612611, c++, elite, mult, 2
2059675.exe , 15.49,  1.80,  1.47,  0.00,  0.52,  913514297,  886379000,   27011000,  956084194, c++, elite, mult, 2
